diet_score,sleep_hours,activity_level,bmi,hrs_score,bmi_category,health_risk_category
52.44,6.58,7.6,32.12,51.48,Obese,Moderate
74.84,5.68,10.0,25.0,25.47,Normal,Low
25.03,7.39,4.93,30.02,52.9,Obese,High
51.96,5.62,0.38,30.38,66.44,Obese,High
22.17,7.85,3.99,24.09,39.59,Normal,Moderate
31.09,5.58,7.91,28.05,50.03,Overweight,Moderate
82.55,6.32,6.42,24.03,24.19,Normal,Low
74.11,6.25,5.75,31.55,49.96,Obese,High
45.05,8.59,7.42,28.25,43.36,Overweight,Moderate
30.95,7.4,6.27,19.49,32.66,Normal,Moderate
10.0,6.75,7.88,25.98,42.65,Overweight,Moderate
48.22,7.6,7.22,33.11,51.47,Obese,High
100.0,4.47,8.55,24.33,27.01,Normal,Low
65.83,6.95,5.99,27.35,35.32,Overweight,Low
47.93,9.4,7.19,27.82,46.45,Overweight,Moderate
66.37,7.16,4.52,20.22,26.49,Normal,Low
29.9,7.08,3.88,27.65,48.65,Overweight,Moderate
52.65,7.66,8.95,18.51,25.01,Normal,Low
59.79,8.07,5.68,22.2,22.56,Normal,Low
56.45,4.6,6.97,30.36,57.89,Obese,High
72.23,4.98,5.47,26.91,44.72,Overweight,Moderate
64.2,7.25,3.91,23.74,27.62,Normal,Low
70.03,6.14,5.22,27.34,40.39,Overweight,Moderate
45.61,8.57,8.36,24.91,31.51,Normal,Low
74.16,6.62,6.42,25.26,28.14,Overweight,Low
87.32,4.68,1.43,28.35,54.95,Overweight,High
40.54,5.48,4.73,21.71,37.81,Normal,Moderate
42.02,3.7,9.12,25.39,46.15,Overweight,Moderate
82.04,6.72,4.73,23.7,24.45,Normal,Low
54.56,6.77,1.24,17.59,45.9,Underweight,Moderate
83.27,6.49,9.36,20.78,14.77,Normal,Low
50.03,8.29,6.7,32.73,54.92,Obese,Moderate
84.19,8.44,5.05,27.05,33.94,Overweight,Low
60.37,6.8,4.38,18.85,34.36,Normal,Low
62.65,4.44,7.58,17.81,43.9,Underweight,Moderate
86.16,7.74,4.01,24.66,24.58,Normal,Low
51.49,7.67,7.73,32.69,48.82,Obese,Moderate
41.06,7.37,6.39,24.3,29.4,Normal,Low
49.93,8.18,5.74,31.47,52.55,Obese,High
66.14,5.6,5.52,26.89,42.53,Overweight,Moderate
29.82,9.41,4.82,27.46,54.76,Overweight,High
69.47,5.85,7.5,18.79,31.43,Normal,Moderate
48.3,7.9,3.3,29.7,51.07,Overweight,Moderate
78.66,4.98,1.63,23.59,41.14,Normal,Moderate
14.9,5.88,6.55,29.34,58.82,Overweight,High
43.84,8.82,6.59,21.29,30.47,Normal,Low
27.64,6.69,6.26,26.05,42.03,Overweight,Moderate
43.13,8.01,6.1,26.89,39.19,Overweight,Moderate
62.46,7.28,4.49,24.46,28.81,Normal,Low
54.77,6.87,6.93,27.14,36.02,Overweight,Low
53.44,8.64,5.1,23.92,33.54,Normal,Low
55.13,6.72,4.13,22.08,27.69,Normal,Low
61.66,4.86,4.51,32.91,67.44,Obese,High
39.85,6.04,9.65,30.23,48.13,Obese,High
70.72,7.66,1.38,21.55,26.79,Normal,Low
69.93,7.47,6.3,27.93,32.36,Overweight,Low
64.93,5.12,1.51,21.64,40.42,Normal,Moderate
68.02,6.13,4.96,19.51,33.15,Normal,Low
63.34,6.3,4.25,30.16,51.33,Obese,Moderate
94.63,6.56,0.61,17.02,40.0,Underweight,Moderate
56.43,5.35,6.06,29.65,53.38,Overweight,High
52.47,6.25,4.36,23.99,36.12,Normal,Moderate
44.44,6.13,0.58,24.18,46.95,Normal,Moderate
39.42,7.93,7.05,27.17,38.55,Overweight,Moderate
35.6,7.97,8.36,27.99,39.55,Overweight,Moderate
42.0,6.83,8.48,21.23,23.64,Normal,Low
56.73,6.53,5.99,28.65,43.77,Overweight,Moderate
64.02,7.17,5.3,25.74,31.21,Overweight,Low
58.92,6.02,8.12,19.17,30.73,Normal,Low
44.22,5.62,8.9,24.38,33.82,Normal,Moderate
74.2,5.87,7.69,31.83,49.04,Obese,High
71.31,6.24,3.13,33.25,60.93,Obese,High
55.13,5.6,5.64,28.64,50.14,Overweight,Moderate
46.25,7.19,6.17,19.49,30.18,Normal,Low
67.87,7.88,1.22,27.55,43.94,Overweight,Moderate
61.38,5.1,6.23,29.28,52.17,Overweight,Moderate
31.93,7.03,10.0,28.68,39.19,Overweight,Moderate
56.78,6.74,6.61,28.97,42.28,Overweight,Moderate
62.72,7.41,8.44,26.94,27.37,Overweight,Low
41.81,6.98,5.6,24.85,34.61,Normal,Low
61.42,5.26,5.04,22.28,33.21,Normal,Moderate
31.81,5.49,6.04,16.09,53.72,Underweight,High
82.05,7.04,3.41,26.83,34.42,Overweight,Low
80.46,8.23,3.08,26.09,34.86,Overweight,Low
53.45,4.34,7.99,27.88,50.84,Overweight,Moderate
64.54,7.41,8.22,18.78,22.3,Normal,Low
14.62,8.43,3.02,28.3,58.97,Overweight,High
37.19,6.82,7.33,35.06,59.95,Obese,High
52.71,7.66,5.01,25.58,33.15,Overweight,Low
38.7,6.16,5.95,24.9,39.58,Normal,Moderate
70.86,6.86,6.21,26.68,32.2,Overweight,Low
93.95,5.05,7.39,34.96,55.71,Obese,High
36.82,4.19,5.38,20.29,48.96,Normal,High
42.93,8.13,8.3,26.18,33.45,Overweight,Moderate
62.24,5.82,5.88,21.36,29.15,Normal,Low
87.0,6.45,6.57,22.57,17.76,Normal,Low
36.0,5.34,3.37,24.96,50.27,Normal,High
62.48,5.31,9.95,31.67,50.2,Obese,High
90.78,6.79,6.23,33.84,48.43,Obese,Moderate
28.27,6.12,6.77,27.35,47.86,Overweight,Moderate
34.94,7.45,1.66,23.39,37.27,Normal,Moderate
50.38,7.54,3.39,37.17,60.87,Obese,High
48.63,7.39,7.92,23.15,21.0,Normal,Low
72.63,7.29,5.83,22.46,17.74,Normal,Low
62.35,8.89,0.99,16.68,50.91,Underweight,High
26.05,5.72,7.48,31.9,62.58,Obese,High
67.28,6.93,4.0,29.85,46.3,Overweight,Moderate
47.6,8.36,8.3,36.81,56.4,Obese,High
80.94,8.52,5.01,18.53,30.69,Normal,Low
46.7,5.29,5.65,32.2,64.38,Obese,High
46.54,6.63,7.79,25.54,33.09,Overweight,Low
67.74,8.63,3.23,29.07,48.69,Overweight,Moderate
71.73,7.61,3.02,17.29,35.4,Underweight,Low
66.07,7.23,4.77,32.25,50.35,Obese,High
27.66,6.74,7.02,28.98,48.74,Overweight,Moderate
67.68,6.54,2.27,25.01,37.81,Overweight,Moderate
39.38,7.35,1.53,28.3,51.34,Overweight,High
62.23,6.7,7.01,21.53,21.39,Normal,Low
32.37,6.95,3.87,22.42,33.53,Normal,Moderate
66.03,7.09,4.34,22.98,24.98,Normal,Low
43.48,6.19,1.12,16.31,56.01,Underweight,High
34.91,7.64,3.71,29.34,51.05,Overweight,Moderate
70.85,10.0,5.18,30.92,57.22,Obese,Moderate
62.35,4.87,7.25,21.83,30.45,Normal,Low
46.95,7.39,3.5,26.87,41.1,Overweight,Moderate
84.12,6.09,8.85,23.93,19.96,Normal,Low
50.07,7.69,3.69,26.78,40.13,Overweight,Low
58.58,7.06,3.7,22.19,26.05,Normal,Low
62.84,7.91,8.58,20.96,17.53,Normal,Low
46.85,8.41,5.67,30.25,51.22,Obese,High
66.48,7.23,3.99,24.89,30.39,Normal,Low
48.4,8.36,4.86,34.91,63.09,Obese,High
50.59,4.19,8.18,25.42,44.91,Overweight,Moderate
82.53,8.91,8.43,20.75,19.2,Normal,Low
39.27,7.45,3.4,31.09,55.17,Obese,High
14.57,8.29,5.11,28.23,53.84,Overweight,Moderate
87.0,5.54,5.4,28.69,43.19,Overweight,Moderate
100.0,6.0,3.03,30.91,48.5,Obese,Moderate
50.71,7.18,5.08,22.07,24.22,Normal,Low
23.14,6.98,5.21,24.59,39.32,Normal,Moderate
52.41,7.34,7.71,24.38,24.33,Normal,Low
52.85,8.3,7.86,19.0,29.39,Normal,Low
54.58,4.88,4.48,23.93,43.01,Normal,Moderate
37.96,8.17,4.73,31.61,57.91,Obese,High
68.43,7.01,6.66,26.34,30.03,Overweight,Low
67.44,6.76,3.91,18.74,34.08,Normal,Low
31.1,5.23,6.5,17.73,49.63,Underweight,High
70.59,7.6,5.01,33.19,50.57,Obese,Moderate
94.95,4.1,3.07,24.77,42.61,Normal,Moderate
61.1,7.78,3.09,22.09,25.39,Normal,Low
51.93,5.21,8.38,23.88,33.84,Normal,Moderate
55.44,7.06,4.86,18.11,35.27,Underweight,Low
69.07,6.86,8.81,32.03,43.04,Obese,Moderate
26.85,8.4,4.07,23.31,39.14,Normal,Moderate
60.96,6.79,5.84,31.76,50.64,Obese,Moderate
50.97,6.17,10.0,25.45,29.93,Overweight,Low
91.26,6.39,2.87,32.06,52.12,Obese,High
54.86,8.53,1.02,26.43,48.03,Overweight,Moderate
88.02,7.64,8.03,29.3,29.03,Overweight,Low
38.13,6.54,3.38,28.65,53.61,Overweight,Moderate
68.57,6.72,5.15,28.19,40.09,Overweight,Moderate
63.75,5.12,3.91,26.87,49.05,Overweight,Moderate
42.36,7.47,5.79,24.08,29.1,Normal,Low
61.19,4.89,3.11,34.39,73.41,Obese,High
79.83,7.9,4.8,20.85,21.1,Normal,Low
52.17,7.15,6.19,25.22,30.95,Overweight,Low
27.54,9.86,2.98,25.27,55.2,Overweight,High
57.68,5.68,3.66,27.13,48.63,Overweight,Moderate
41.76,6.88,4.44,23.14,32.57,Normal,Low
51.84,9.16,2.06,26.71,51.14,Overweight,Moderate
56.53,8.43,4.27,24.39,34.61,Normal,Moderate
27.3,6.16,5.46,17.61,47.7,Underweight,Moderate
28.92,7.27,4.32,25.25,39.92,Overweight,Moderate
66.68,7.0,4.6,19.92,28.04,Normal,Low
48.59,7.34,5.16,16.87,38.41,Underweight,Moderate
11.83,6.16,3.76,25.86,53.42,Overweight,Moderate
72.13,6.89,6.72,27.54,33.16,Overweight,Low
62.9,5.08,8.36,27.73,43.08,Overweight,Moderate
45.15,7.16,4.18,27.92,44.56,Overweight,Moderate
34.3,7.54,6.27,15.92,41.84,Underweight,Moderate
73.04,6.73,4.67,18.67,31.53,Normal,Low
64.29,5.06,6.0,34.67,65.85,Obese,High
100.0,8.19,8.64,20.17,11.96,Normal,Low
65.56,7.44,6.32,28.13,34.21,Overweight,Low
64.98,6.13,1.3,21.9,34.28,Normal,Low
55.0,6.66,6.2,25.58,34.08,Overweight,Low
72.7,5.2,7.91,22.16,24.62,Normal,Moderate
69.25,5.77,4.71,27.9,45.35,Overweight,Moderate
80.53,6.35,7.39,25.86,27.88,Overweight,Low
48.62,8.47,3.68,23.05,34.11,Normal,Low
50.16,6.23,1.93,20.16,41.21,Normal,Moderate
49.38,7.77,5.51,26.49,36.25,Overweight,Low
72.23,6.35,1.34,19.38,38.46,Normal,Moderate
84.97,7.3,4.67,27.25,30.89,Overweight,Low
49.74,6.83,8.03,37.81,55.33,Obese,High
50.35,8.05,1.0,31.68,61.78,Obese,High
63.65,6.36,2.39,28.65,50.23,Overweight,Moderate
53.58,5.11,2.93,24.79,47.52,Normal,High
75.14,5.34,5.06,15.89,46.24,Underweight,Moderate
17.47,6.36,4.4,18.85,47.53,Normal,Moderate
43.12,5.5,8.28,31.36,56.38,Obese,High
43.92,7.49,7.3,21.41,21.19,Normal,Low
16.23,6.44,6.29,21.84,34.87,Normal,Moderate
40.65,9.85,5.52,24.4,44.24,Normal,Moderate
41.53,4.91,6.07,20.1,42.8,Normal,Moderate
54.38,7.24,3.3,19.31,34.1,Normal,Low
78.03,5.65,7.09,24.96,30.54,Normal,Low
53.59,6.41,2.75,20.92,35.48,Normal,Moderate
39.45,7.17,7.04,21.64,23.99,Normal,Low
56.97,4.21,7.81,21.45,35.54,Normal,Moderate
76.89,7.28,5.66,27.71,32.33,Overweight,Low
40.43,9.28,4.81,24.09,41.54,Normal,Moderate
41.61,6.46,6.08,24.34,35.24,Normal,Low
68.05,7.31,0.0,28.07,46.75,Overweight,Moderate
54.01,8.23,5.86,24.52,31.28,Normal,Low
69.65,6.8,4.95,23.86,27.1,Normal,Low
57.75,6.3,5.09,27.46,43.14,Overweight,Moderate
70.63,4.27,6.75,28.41,50.98,Overweight,Moderate
39.37,7.77,5.04,24.49,33.9,Normal,Moderate
57.78,6.86,2.69,25.59,39.27,Overweight,Moderate
54.21,5.78,4.89,21.45,33.08,Normal,Moderate
36.11,7.15,5.35,21.07,29.98,Normal,Moderate
29.86,6.3,5.45,28.89,53.59,Overweight,Moderate
70.34,6.37,5.56,27.34,38.34,Overweight,Low
51.68,7.73,7.49,27.39,34.11,Overweight,Low
39.6,5.39,2.81,26.55,54.78,Overweight,High
56.27,8.26,5.59,25.42,34.06,Overweight,Low
78.3,5.32,8.04,28.54,40.87,Overweight,Moderate
16.95,6.2,1.38,29.69,67.82,Overweight,High
31.06,9.31,5.6,29.57,58.46,Overweight,High
41.39,8.35,3.91,24.72,39.62,Normal,Moderate
84.3,7.12,4.38,31.86,46.09,Obese,Moderate
63.09,5.87,3.21,26.3,44.65,Overweight,Moderate
71.81,6.36,4.83,28.24,42.07,Overweight,Moderate
37.48,7.09,9.25,26.55,32.77,Overweight,Moderate
37.85,7.05,2.42,26.39,46.09,Overweight,Moderate
66.06,6.89,2.63,21.67,27.68,Normal,Low
59.05,6.96,2.34,28.57,47.79,Overweight,Moderate
67.88,6.74,9.0,38.86,49.36,Obese,High
54.62,5.27,4.18,23.4,39.81,Normal,Moderate
63.01,6.38,5.14,25.54,35.69,Overweight,Low
60.85,8.1,4.31,23.06,27.66,Normal,Low
72.0,5.36,3.12,22.86,35.5,Normal,Moderate
72.53,6.77,4.68,32.61,52.62,Obese,High
28.84,6.02,10.0,21.97,26.36,Normal,Low
17.55,7.13,8.26,22.92,28.88,Normal,Low
76.03,6.53,3.32,17.58,37.76,Underweight,Moderate
79.38,8.77,6.62,21.56,20.45,Normal,Low
39.63,7.61,3.37,17.0,43.55,Underweight,Moderate
24.52,5.43,1.29,28.23,66.32,Overweight,High
59.78,7.81,7.44,38.64,51.91,Obese,Moderate
74.76,6.07,7.75,23.44,23.18,Normal,Low
90.36,6.31,7.5,17.2,28.22,Underweight,Low
67.29,7.38,4.17,29.52,42.48,Overweight,Moderate
51.31,6.41,4.83,21.71,29.58,Normal,Low
41.92,8.07,6.85,31.44,51.61,Obese,Moderate
58.21,6.07,6.06,23.85,31.88,Normal,Low
52.61,6.26,4.33,22.17,30.77,Normal,Low
39.73,6.21,1.64,24.35,45.99,Normal,Moderate
94.88,6.32,5.45,28.84,37.06,Overweight,Low
90.13,8.32,7.57,24.11,18.15,Normal,Low
78.45,7.75,2.57,22.82,24.09,Normal,Low
41.42,9.05,6.61,24.25,36.85,Normal,Moderate
73.39,9.72,5.93,19.1,35.96,Normal,Moderate
69.51,5.76,6.85,27.11,38.74,Overweight,Moderate
65.97,7.08,7.12,16.62,32.33,Underweight,Low
80.49,5.59,3.67,23.07,31.57,Normal,Moderate
69.44,6.07,1.64,28.85,52.51,Overweight,High
71.32,6.24,4.03,26.65,39.87,Overweight,Moderate
69.46,5.73,7.16,28.03,41.03,Overweight,Moderate
64.13,5.74,4.01,24.89,39.44,Normal,Moderate
25.89,6.83,3.67,30.81,60.74,Obese,High
59.51,5.54,1.19,29.64,61.22,Overweight,High
47.99,8.01,9.06,27.34,33.39,Overweight,Low
34.96,5.9,7.02,29.65,53.7,Overweight,Moderate
88.27,10.0,6.89,28.8,43.27,Overweight,Moderate
89.12,6.46,7.33,23.09,17.19,Normal,Low
82.47,7.09,6.47,18.75,23.29,Normal,Low
62.59,5.45,4.66,27.22,46.98,Overweight,Moderate
82.31,9.05,4.84,27.82,40.56,Overweight,Moderate
58.22,8.34,4.26,30.43,51.35,Obese,Moderate
61.65,7.36,10.0,20.71,14.18,Normal,Low
38.32,5.38,6.42,20.85,38.02,Normal,Moderate
65.15,7.25,4.18,27.41,37.54,Overweight,Low
59.09,5.65,6.22,24.86,36.66,Normal,Moderate
34.55,8.75,2.98,16.15,54.65,Underweight,High
57.08,7.97,8.51,27.0,30.99,Overweight,Low
56.56,7.11,3.75,16.31,42.17,Underweight,Moderate
90.36,4.08,6.3,20.66,33.27,Normal,Moderate
74.1,5.82,7.55,31.69,49.24,Obese,High
58.21,7.83,6.05,33.96,55.1,Obese,High
62.48,8.46,5.41,19.36,31.71,Normal,Low
58.8,8.33,5.22,23.62,29.32,Normal,Low
54.35,5.09,5.08,25.4,44.97,Overweight,Moderate
38.52,7.36,3.93,33.75,62.57,Obese,High
55.28,8.22,4.21,22.83,29.3,Normal,Low
44.57,5.01,8.46,22.91,33.83,Normal,Low
35.49,6.99,4.96,32.63,60.13,Obese,High
67.2,7.33,3.47,23.4,26.32,Normal,Low
65.04,6.64,4.06,28.67,44.97,Overweight,Moderate
25.84,4.78,7.62,18.11,50.2,Underweight,High
55.79,6.61,6.69,24.38,29.71,Normal,Low
75.92,6.61,6.43,17.23,32.16,Underweight,Low
77.07,6.82,4.63,20.13,25.78,Normal,Low
76.47,6.32,6.46,29.23,40.76,Overweight,Moderate
58.7,6.47,3.78,24.96,37.29,Normal,Low
42.79,6.95,4.63,23.67,33.04,Normal,Low
38.49,7.53,7.33,21.61,22.04,Normal,Low
64.2,6.63,7.12,24.14,25.89,Normal,Low
64.83,6.51,3.04,26.65,41.93,Overweight,Moderate
81.17,7.11,3.32,29.92,43.39,Overweight,Moderate
77.8,4.69,5.44,15.5,49.66,Underweight,Moderate
55.62,7.57,9.0,21.21,15.83,Normal,Low
35.6,7.0,0.99,25.96,48.55,Overweight,Moderate
52.26,7.05,5.81,24.73,30.85,Normal,Low
61.91,8.15,2.17,27.14,43.89,Overweight,Moderate
54.36,4.66,3.8,26.48,53.13,Overweight,Moderate
47.6,4.63,4.4,23.74,45.76,Normal,Moderate
62.55,7.33,4.27,22.67,23.75,Normal,Low
48.93,6.99,4.03,24.02,33.52,Normal,Low
46.69,7.2,5.22,30.71,50.0,Obese,Moderate
63.61,6.45,4.02,21.69,27.99,Normal,Low
50.76,7.8,1.98,24.9,38.5,Normal,Moderate
62.39,8.12,6.92,26.08,31.01,Overweight,Low
62.92,7.58,6.86,32.69,47.2,Obese,Moderate
37.49,6.69,7.05,23.76,31.29,Normal,Low
49.34,4.47,1.81,29.8,69.11,Overweight,High
83.88,7.92,5.86,31.11,41.31,Obese,Moderate
37.08,8.47,6.69,24.89,36.32,Normal,Moderate
19.9,7.77,2.93,24.19,42.11,Normal,Moderate
24.49,5.94,5.22,23.62,42.05,Normal,Moderate
58.52,7.81,4.94,23.97,28.0,Normal,Low
58.56,8.03,9.25,29.3,36.19,Overweight,Low
55.88,8.87,9.43,26.31,32.56,Overweight,Low
79.86,5.95,1.54,26.33,43.45,Overweight,Moderate
10.0,6.73,10.0,19.8,33.33,Normal,Low
65.13,7.9,3.19,20.56,28.82,Normal,Low
86.11,7.07,7.36,35.49,46.22,Obese,Moderate
37.7,5.66,7.34,24.35,38.27,Normal,Moderate
51.16,7.5,3.01,21.48,27.72,Normal,Low
44.45,7.69,6.29,32.07,51.8,Obese,Moderate
41.9,7.11,4.96,26.55,40.13,Overweight,Low
52.13,7.26,6.42,27.98,37.91,Overweight,Low
83.69,6.69,5.71,24.54,24.69,Normal,Low
91.07,8.77,7.83,23.67,18.72,Normal,Low
51.95,5.92,5.37,24.39,37.27,Normal,Moderate
92.29,6.3,4.83,18.56,29.18,Normal,Low
58.64,7.01,7.61,24.78,26.0,Normal,Low
89.57,8.05,6.48,26.62,26.3,Overweight,Low
56.32,5.2,6.81,34.08,65.42,Obese,High
60.36,5.43,3.74,25.61,44.81,Overweight,Moderate
64.58,4.55,2.9,15.5,58.84,Underweight,High
100.0,7.04,3.95,24.75,22.75,Normal,Low
73.32,5.66,3.83,38.35,64.53,Obese,High
45.27,6.54,6.93,29.36,46.78,Overweight,Moderate
75.44,7.79,7.35,21.31,15.14,Normal,Low
51.49,6.23,4.86,28.04,47.28,Overweight,Moderate
49.18,7.28,8.35,21.64,18.33,Normal,Low
74.35,6.64,8.21,18.7,24.52,Normal,Low
58.56,7.81,5.74,23.53,25.1,Normal,Low
63.01,7.57,3.39,25.64,33.48,Overweight,Low
58.25,6.17,8.67,16.21,37.58,Underweight,Moderate
64.06,6.8,5.07,19.68,29.62,Normal,Low
65.65,8.25,5.48,25.25,31.41,Overweight,Low
23.13,7.47,4.45,23.24,34.09,Normal,Moderate
70.0,5.32,3.24,27.1,48.31,Overweight,Moderate
40.32,7.79,1.97,19.37,40.29,Normal,Moderate
32.04,5.7,6.59,28.63,53.43,Overweight,High
56.95,8.7,3.48,19.52,37.88,Normal,Moderate
59.51,8.23,10.0,33.09,46.62,Obese,Moderate
45.52,7.35,2.81,16.96,43.56,Underweight,Moderate
72.96,7.19,2.43,19.96,29.63,Normal,Low
33.84,6.75,6.32,27.2,43.36,Overweight,Moderate
50.68,7.81,8.56,33.19,49.63,Obese,Moderate
47.47,6.56,5.34,26.71,41.59,Overweight,Moderate
57.16,7.28,6.46,27.9,36.25,Overweight,Low
63.02,8.05,1.14,25.28,39.66,Overweight,Moderate
39.86,6.33,3.71,20.27,39.36,Normal,Moderate
71.04,6.26,2.84,22.85,31.12,Normal,Low
59.13,5.57,1.03,19.38,46.84,Normal,Moderate
23.94,5.72,5.46,19.06,46.82,Normal,Moderate
22.75,4.81,0.27,27.13,69.13,Overweight,High
57.78,7.88,2.29,19.81,34.51,Normal,Moderate
54.02,9.17,4.02,26.73,46.81,Overweight,Moderate
56.14,8.71,3.37,18.95,40.03,Normal,Moderate
57.5,5.05,6.07,26.62,45.97,Overweight,Moderate
62.06,7.87,5.87,22.85,22.35,Normal,Low
75.06,8.71,7.17,31.95,47.82,Obese,Moderate
38.0,6.45,6.86,26.75,41.64,Overweight,Moderate
36.9,7.12,7.71,31.13,49.15,Obese,High
38.32,4.59,5.2,21.57,42.9,Normal,Moderate
63.2,7.32,5.87,25.47,28.61,Overweight,Low
80.41,5.72,6.33,20.49,26.8,Normal,Low
50.24,7.24,5.51,23.21,26.45,Normal,Low
12.97,5.13,4.33,23.94,52.33,Normal,High
27.33,7.65,4.47,21.72,30.92,Normal,Moderate
43.01,8.23,3.4,19.37,39.3,Normal,Moderate
47.96,6.06,6.13,18.42,39.44,Underweight,Moderate
50.65,5.64,4.99,15.5,51.96,Underweight,Moderate
58.69,4.41,3.74,20.13,45.94,Normal,Moderate
52.39,6.68,3.74,28.21,47.22,Overweight,Moderate
76.89,6.3,2.54,17.53,40.59,Underweight,Moderate
45.83,5.14,7.35,18.63,42.15,Normal,Moderate
42.48,7.54,5.37,33.8,58.29,Obese,High
66.62,6.46,3.3,22.14,28.11,Normal,Low
30.36,5.71,6.98,26.74,47.51,Overweight,Moderate
65.01,6.33,3.97,28.28,45.8,Overweight,Moderate
59.85,8.29,2.11,28.38,48.92,Overweight,Moderate
55.35,7.72,7.45,17.89,29.53,Underweight,Low
86.59,6.84,4.02,24.09,25.16,Normal,Low
46.8,7.74,4.3,17.43,39.41,Underweight,Moderate
95.09,5.61,5.29,36.94,56.47,Obese,High
53.94,7.04,7.71,17.54,31.72,Underweight,Moderate
35.01,7.18,5.24,20.17,32.94,Normal,Low
59.26,6.44,2.56,20.21,36.38,Normal,Moderate
38.63,7.52,6.4,18.02,34.3,Underweight,Moderate
44.47,6.06,4.13,31.69,62.1,Obese,High
65.15,7.61,9.35,36.83,45.65,Obese,Moderate
68.0,7.66,5.2,22.92,21.2,Normal,Low
46.8,3.5,0.28,18.86,61.89,Normal,High
75.77,8.43,5.99,15.5,38.35,Underweight,Moderate
78.84,3.5,9.48,24.03,32.25,Normal,Low
83.85,6.26,8.67,23.68,18.69,Normal,Low
67.53,8.23,9.23,22.07,14.05,Normal,Low
82.54,6.62,2.96,26.26,35.92,Overweight,Moderate
24.15,5.24,7.21,27.1,52.33,Overweight,High
52.28,5.69,3.61,26.75,48.92,Overweight,Moderate
42.39,8.23,5.69,23.68,32.11,Normal,Low
60.15,4.69,2.4,19.91,47.29,Normal,Moderate
47.71,8.35,3.78,28.4,49.05,Overweight,Moderate
55.01,6.93,3.71,25.26,36.57,Overweight,Low
91.88,5.57,7.18,29.46,40.48,Overweight,Moderate
54.95,6.3,6.96,28.99,44.59,Overweight,Moderate
65.45,5.78,5.81,18.38,37.42,Underweight,Moderate
53.82,8.04,2.23,18.32,40.92,Underweight,Moderate
59.36,7.88,4.51,21.57,24.54,Normal,Low
58.11,4.94,3.56,20.13,43.46,Normal,Moderate
66.07,6.52,7.11,28.83,39.79,Overweight,Low
78.98,5.96,7.79,26.89,32.7,Overweight,Moderate
87.65,8.55,7.52,30.48,38.77,Obese,Moderate
63.57,5.38,3.54,27.1,49.03,Overweight,Moderate
68.61,8.93,0.0,26.2,48.24,Overweight,Moderate
37.28,6.96,1.31,30.96,62.27,Obese,High
56.42,5.61,8.33,27.45,40.97,Overweight,Moderate
74.93,6.19,4.32,25.53,35.42,Overweight,Low
73.59,6.04,3.55,32.31,57.92,Obese,High
61.81,5.47,8.81,25.75,34.46,Overweight,Moderate
73.96,7.11,7.98,23.74,17.82,Normal,Low
66.83,5.53,5.25,21.18,31.46,Normal,Moderate
79.61,4.38,4.55,28.57,52.97,Overweight,Moderate
63.21,6.54,4.91,31.14,51.49,Obese,Moderate
51.6,4.84,5.7,24.96,44.55,Normal,Moderate
64.05,6.1,8.72,31.48,47.21,Obese,Moderate
10.0,5.91,6.13,15.74,57.58,Underweight,High
64.89,5.95,6.8,24.93,32.57,Normal,Moderate
10.0,9.4,7.77,25.01,46.59,Overweight,Moderate
26.98,7.07,2.63,21.71,36.32,Normal,Moderate
66.13,7.29,6.86,36.64,50.92,Obese,Moderate
66.6,4.87,4.55,24.88,42.69,Normal,Moderate
37.08,6.22,0.0,23.24,46.7,Normal,Moderate
45.18,7.26,0.52,25.32,43.75,Overweight,Moderate
82.67,5.77,2.96,15.59,47.0,Underweight,High
49.29,8.09,6.37,21.55,24.62,Normal,Low
98.37,5.56,5.45,29.92,43.71,Overweight,Moderate
57.97,6.66,5.61,22.18,24.65,Normal,Low
65.34,6.3,9.49,21.22,18.83,Normal,Low
87.1,7.2,2.41,31.49,47.81,Obese,Moderate
60.36,6.23,5.14,31.63,54.98,Obese,High
39.96,6.67,5.87,27.68,44.56,Overweight,Moderate
56.02,6.72,3.58,23.02,31.27,Normal,Low
57.36,6.12,5.26,24.05,34.01,Normal,Low
33.43,7.58,1.68,21.34,35.68,Normal,Moderate
53.4,7.29,8.3,20.43,20.86,Normal,Low
44.64,6.89,3.7,20.19,35.19,Normal,Low
74.64,6.48,9.67,22.23,13.49,Normal,Low
58.62,7.96,5.13,20.23,27.84,Normal,Low
52.91,6.72,7.46,17.69,33.88,Underweight,Low
56.09,6.63,5.08,26.25,38.18,Overweight,Low
62.02,7.13,5.13,26.33,33.99,Overweight,Low
69.1,9.04,3.92,33.36,61.82,Obese,High
40.01,5.39,5.46,21.99,36.15,Normal,Moderate
39.25,7.92,5.9,26.62,39.29,Overweight,Moderate
77.88,4.73,3.47,26.7,48.13,Overweight,Moderate
50.58,7.26,4.92,23.98,29.65,Normal,Low
32.5,8.89,3.86,28.77,56.86,Overweight,High
65.99,7.59,10.0,28.92,29.18,Overweight,Low
66.34,7.2,5.0,26.77,34.01,Overweight,Low
30.45,6.33,8.6,23.97,32.64,Normal,Moderate
62.13,7.04,4.77,23.48,26.9,Normal,Low
71.24,6.7,5.77,18.63,30.05,Normal,Low
64.74,6.06,2.29,21.33,34.43,Normal,Low
69.38,6.65,4.22,22.21,24.69,Normal,Low
32.72,7.24,5.66,19.8,33.39,Normal,Moderate
63.96,6.08,8.69,27.31,35.24,Overweight,Low
52.55,6.03,5.69,30.94,54.96,Obese,High
